WNDROBS 01.20
57793 0114.3600 027.7900 00130.0 LC 20130629101000
ROBS
00100 104.0 003.7 -001.6 100 100 2.1e-021
00160 100.0 004.0 -001.8 100 100 4.7e-021
00220 113.0 004.3 -000.2 100 100 3.1e-021
00280 103.0 004.9 -000.6 100 100 6.3e-021
00340 115.0 006.1 -000.4 100 100 1.1e-020
00400 118.0 006.0 -000.3 100 100 1.9e-020
00460 138.0 006.0 -000.0 100 100 3.4e-020
00520 155.0 006.8 -000.1 100 100 1.2e-019
00580 156.0 007.9 -000.1 100 100 5.5e-020
00640 154.0 009.0 0000.0 100 100 3.2e-020
00700 154.0 008.4 -000.0 100 100 8.2e-020
00760 162.0 007.6 -000.0 100 100 2.8e-019
00820 170.0 006.9 -000.2 100 100 1.5e-019
00880 175.0 005.3 -000.4 100 100 4.6e-020
00940 176.0 005.2 0000.0 100 100 1.0e-020
01000 182.0 006.3 0000.0 100 100 6.6e-021
01060 205.0 003.1 0000.1 100 100 1.0e-021
01120 218.0 002.2 0000.2 100 100 1.8e-021
01180 216.0 001.8 -000.2 100 100 2.9e-021
01240 200.0 002.7 -000.2 100 100 1.2e-020
01300 213.0 003.5 0000.0 100 100 3.3e-020
01360 218.0 004.7 -000.0 100 100 3.7e-020
01420 220.0 006.0 -000.1 100 100 3.2e-020
01480 222.0 006.9 0000.2 100 100 3.0e-020
01540 223.0 008.3 0000.1 100 100 2.6e-020
01600 220.0 009.5 -000.0 100 100 1.9e-020
01660 224.0 010.7 -000.2 100 100 1.8e-020
01720 225.0 011.9 -000.2 100 100 9.1e-021
01780 227.0 011.6 0000.0 100 100 4.2e-021
01840 231.0 011.2 -000.2 100 100 4.5e-021
01900 231.0 010.5 -000.1 100 100 5.0e-021
01960 231.0 010.1 -000.1 100 100 5.6e-021
02020 233.0 010.0 0000.3 100 100 3.7e-021
02080 229.0 009.4 0000.7 100 100 3.4e-021
02140 232.0 008.9 0000.5 100 100 2.7e-021
02200 231.0 009.0 0000.1 100 100 2.2e-021
02260 227.0 009.0 -000.1 100 100 2.0e-021
02320 228.0 008.9 -000.0 100 100 4.7e-021
02380 227.0 008.9 -000.2 100 100 4.9e-021
02440 225.0 009.4 -000.1 100 100 4.6e-021
02500 233.0 009.1 -000.3 100 100 3.8e-021
02560 233.0 009.3 -000.1 100 100 3.0e-021
02620 238.0 009.2 0000.3 100 100 3.2e-021
02680 241.0 009.4 0000.0 100 100 1.6e-021
02740 242.0 009.6 -000.1 100 100 2.6e-021
02800 242.0 009.4 0000.0 100 100 3.0e-021
02860 243.0 009.1 0000.0 100 100 1.0e-021
02920 242.0 009.2 0000.0 100 100 2.1e-021
02980 243.0 009.2 0000.0 100 100 2.0e-021
03040 243.0 009.3 0000.9 100 100 2.2e-021
03100 241.0 009.6 0000.1 100 100 2.6e-021
03160 248.0 011.4 0000.0 100 100 1.6e-021
03220 248.0 012.1 -000.3 100 100 1.6e-021
03280 ///// ///// 0000.0 000 000 1.5e-021
03340 ///// ///// 0000.0 000 000 1.3e-021
03400 ///// ///// 0000.0 000 000 1.7e-021
03460 ///// ///// -000.2 000 000 1.7e-021
03520 ///// ///// -000.0 000 000 2.7e-021
03580 ///// ///// 0000.0 000 000 9.0e-022
03640 ///// ///// -000.3 000 000 2.1e-021
03700 ///// ///// 0000.1 000 000 2.7e-021
03760 ///// ///// 0000.0 000 000 2.3e-021
03820 ///// ///// 0000.0 000 000 5.7e-022
03880 ///// ///// 0000.0 000 000 1.5e-021
03940 ///// ///// 0000.0 000 000 2.1e-021
04000 ///// ///// -000.1 000 000 2.8e-021
04060 ///// ///// -000.3 000 000 3.8e-021
04120 ///// ///// -000.1 000 000 3.4e-021
04180 ///// ///// 0000.3 000 000 5.7e-021
04240 226.0 009.1 0000.2 100 100 8.5e-021
04300 223.0 010.3 0000.1 100 100 8.0e-021
04360 228.0 010.8 0000.0 100 100 7.9e-021
04420 234.0 010.7 0000.0 100 100 7.5e-021
04480 238.0 010.6 0000.0 100 100 7.9e-021
04540 239.0 010.5 0000.0 100 100 3.5e-021
04600 223.0 008.6 0000.0 100 100 1.4e-021
04660 ///// ///// 0000.2 000 000 2.4e-021
04720 ///// ///// 0000.0 000 000 8.7e-022
04780 ///// ///// 0000.0 000 000 2.1e-021
04840 ///// ///// 0000.0 000 000 8.5e-022
04900 ///// ///// 0000.1 000 000 3.5e-021
04960 ///// ///// 0000.0 000 000 2.2e-021
05020 ///// ///// 0000.0 000 000 1.6e-021
05080 ///// ///// 0000.0 000 000 2.9e-021
05140 ///// ///// -000.1 000 000 4.1e-021
05200 ///// ///// 0000.0 000 000 1.2e-021
05260 ///// ///// 0000.0 000 000 3.2e-021
05320 ///// ///// 0000.0 000 000 3.5e-021
05380 ///// ///// 0000.1 000 000 4.6e-021
05440 ///// ///// 0000.0 000 000 3.0e-021
05500 ///// ///// 0000.0 000 000 1.6e-021
05560 ///// ///// 0000.0 000 000 1.6e-021
05620 ///// ///// 0000.0 000 000 4.1e-021
05680 ///// ///// -000.1 000 000 1.5e-021
05740 ///// ///// 0000.0 000 000 2.2e-021
05800 ///// ///// 0000.0 000 000 4.5e-021
05860 ///// ///// 0000.0 000 000 1.8e-021
05920 ///// ///// 0000.0 000 000 5.2e-021
05980 ///// ///// 0000.1 000 000 5.5e-021
NNNN
