WNDROBS 01.20
57793 0114.3600 027.7900 00130.0 LC 20130629191000
ROBS
00100 140.0 007.1 0000.1 100 100 1.8e-021
00160 136.0 007.2 0000.1 100 100 3.9e-021
00220 150.0 007.2 0000.2 100 100 3.9e-021
00280 146.0 004.9 0000.1 100 100 5.4e-021
00340 137.0 002.9 0000.2 100 100 1.1e-020
00400 150.0 002.8 0000.1 100 100 1.4e-020
00460 154.0 003.8 0000.2 100 100 3.9e-020
00520 170.0 005.5 0000.3 100 100 6.4e-020
00580 174.0 006.5 0000.3 100 100 9.9e-020
00640 184.0 006.3 0000.4 100 100 6.7e-020
00700 189.0 005.8 0000.4 100 100 5.9e-020
00760 193.0 005.8 0000.5 100 100 5.6e-020
00820 201.0 004.1 0000.3 100 100 3.0e-020
00880 204.0 003.1 0000.3 100 100 2.8e-020
00940 218.0 003.1 0000.2 100 100 2.1e-020
01000 216.0 004.1 0000.3 100 100 2.2e-020
01060 215.0 003.6 0000.2 100 100 9.0e-021
01120 220.0 004.2 0000.3 100 100 8.2e-021
01180 222.0 005.2 0000.3 100 100 2.9e-021
01240 227.0 006.2 -000.2 100 100 1.2e-021
01300 232.0 006.3 0000.2 100 100 1.4e-021
01360 218.0 006.7 0000.1 100 100 1.1e-021
01420 210.0 006.3 0000.1 100 100 2.3e-021
01480 216.0 008.5 0000.0 100 100 2.8e-021
01540 219.0 007.9 0000.1 100 100 2.6e-021
01600 223.0 007.0 0000.0 100 100 5.1e-021
01660 216.0 008.2 -000.1 100 100 2.8e-021
01720 231.0 007.9 -000.1 100 100 4.0e-021
01780 225.0 009.1 0000.1 100 100 7.0e-021
01840 235.0 008.7 -000.1 100 100 1.3e-020
01900 252.0 007.8 -000.2 100 100 5.4e-021
01960 223.0 010.7 -000.3 100 100 4.1e-021
02020 226.0 010.1 -000.4 100 100 2.8e-021
02080 220.0 011.3 -000.0 100 100 2.1e-021
02140 226.0 010.4 -000.2 100 100 1.6e-021
02200 229.0 009.7 -000.3 100 100 2.0e-021
02260 225.0 009.4 0000.0 100 100 1.2e-021
02320 227.0 009.2 -000.1 100 100 1.8e-021
02380 230.0 009.3 -000.2 100 100 2.0e-021
02440 228.0 008.7 -000.0 100 100 1.6e-021
02500 224.0 008.0 0000.0 100 100 1.3e-021
02560 208.0 006.4 -001.0 100 100 2.0e-021
02620 194.0 005.7 -000.0 100 100 2.2e-021
02680 210.0 006.9 0000.0 100 100 1.4e-021
02740 215.0 007.3 0000.0 100 100 5.3e-022
02800 229.0 008.3 0001.4 100 100 1.6e-021
02860 230.0 008.8 0000.9 100 100 6.8e-022
02920 232.0 009.0 0000.0 100 100 1.8e-021
02980 235.0 009.5 -000.2 100 100 2.0e-021
03040 233.0 008.4 -000.1 100 100 2.0e-021
03100 230.0 008.4 -000.3 100 100 4.0e-021
03160 230.0 008.4 -000.5 100 100 5.1e-021
03220 226.0 008.3 -000.5 100 100 6.3e-021
03280 211.0 006.4 0000.0 100 100 4.5e-021
03340 204.0 006.3 -000.4 100 100 9.2e-021
03400 205.0 006.5 -000.5 100 100 7.0e-021
03460 182.0 006.4 -000.3 100 100 4.6e-021
03520 210.0 007.7 0000.1 100 100 6.6e-021
03580 214.0 007.8 -000.1 100 100 1.1e-020
03640 207.0 009.0 -000.2 100 100 2.6e-020
03700 211.0 009.7 -000.3 100 100 1.6e-020
03760 210.0 008.5 -000.1 100 100 9.4e-021
03820 211.0 009.3 0000.0 100 100 1.1e-020
03880 208.0 009.4 -000.2 100 100 1.6e-020
03940 207.0 009.8 -000.3 100 100 3.5e-020
04000 208.0 010.3 -000.4 100 100 4.2e-020
04060 207.0 010.5 0000.0 100 100 1.4e-020
04120 208.0 010.7 0000.0 100 100 1.2e-020
04180 207.0 011.9 0000.0 100 100 2.9e-021
04240 ///// ///// 0000.0 000 000 4.4e-021
04300 ///// ///// 0000.0 000 000 2.9e-021
04360 ///// ///// 0000.0 000 000 1.1e-021
04420 ///// ///// 0000.0 000 000 1.4e-021
04480 ///// ///// -000.8 000 000 1.7e-021
04540 ///// ///// 0000.4 000 000 3.9e-021
04600 ///// ///// 0000.0 000 000 2.5e-021
04660 ///// ///// 0000.0 000 000 1.1e-021
04720 ///// ///// 0000.0 000 000 2.3e-021
04780 ///// ///// -002.0 000 000 3.0e-021
04840 ///// ///// 0000.0 000 000 1.3e-021
04900 ///// ///// 0000.0 000 000 1.4e-021
04960 ///// ///// 0000.0 000 000 1.4e-021
05020 ///// ///// 0000.3 000 000 3.6e-021
05080 ///// ///// 0000.1 000 000 3.1e-021
05140 ///// ///// 0000.3 000 000 1.7e-021
05200 ///// ///// 0000.0 000 000 2.9e-021
05260 ///// ///// 0000.0 000 000 1.6e-021
05320 ///// ///// 0000.2 000 000 1.8e-021
05380 ///// ///// 0000.0 000 000 1.1e-021
05440 ///// ///// 0000.0 000 000 3.0e-021
05500 ///// ///// 0000.0 000 000 1.9e-021
05560 ///// ///// 0000.0 000 000 3.6e-021
05620 ///// ///// 0000.0 000 000 2.0e-021
05680 ///// ///// 0000.0 000 000 1.7e-021
05740 ///// ///// 0000.0 000 000 2.0e-021
05800 ///// ///// 0000.0 000 000 2.3e-021
05860 ///// ///// 0000.6 000 000 5.0e-021
05920 ///// ///// 0000.0 000 000 2.6e-021
05980 ///// ///// 0000.0 000 000 6.4e-021
NNNN
