,0,1
0,17.5,2080.0
1,16.8,2200.0
2,16.4,3580.0
3,16.7,2020.0
4,17.0,2080.0
5,17.1,2140.0
6,17.8,2260.0
7,17.0,2320.0
8,19.0,2080.0
9,16.4,2020.0
10,18.3,2020.0
11,18.7,2080.0
12,18.4,2140.0
13,18.8,2260.0
14,16.6,2200.0
15,17.2,2080.0
16,15.0,2020.0
17,16.2,2020.0
18,16.4,2080.0
19,15.3,2140.0
20,14.7,2020.0
21,14.9,2140.0
22,14.1,2020.0
23,13.5,2140.0
24,15.5,2920.0
25,14.3,2020.0
26,14.4,2200.0
27,13.4,3520.0
28,14.8,3460.0
29,26.2,2500.0
30,13.9,3940.0
31,20.1,2740.0
32,16.7,2500.0
33,15.5,3280.0
34,19.6,2440.0
35,21.2,3940.0
36,18.6,3040.0
37,16.8,2980.0
38,16.2,3820.0
39,6.8,3520.0
40,10.5,3760.0
41,10.0,2500.0
42,17.9,3940.0
43,14.4,2260.0
44,14.8,2740.0
45,18.1,3940.0
46,24.2,3940.0
47,16.4,2140.0
48,14.5,3640.0
49,12.9,3940.0
50,7.3,2020.0
51,13.1,3700.0
52,19.7,3640.0
53,22.9,3160.0
54,12.4,3880.0
55,23.9,3160.0
56,18.9,2560.0
57,28.5,2380.0
58,18.4,2800.0
59,25.0,3400.0
60,16.6,3460.0
61,16.6,2560.0
62,29.6,3880.0
63,18.6,2500.0
64,15.3,2680.0
65,23.3,3160.0
66,18.5,3100.0
67,17.8,3100.0
68,12.7,2020.0
69,18.8,3940.0
70,23.0,2920.0
71,18.2,3880.0
72,23.9,3940.0
73,15.7,2020.0
74,23.9,3280.0
75,19.4,2500.0
76,19.4,3640.0
77,22.5,3700.0
78,18.3,3700.0
79,27.5,3640.0
80,28.6,3520.0
81,17.1,3700.0
82,17.9,3520.0
83,16.0,3940.0
84,15.9,3460.0
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
250,,
251,,
252,,
253,,
254,,
255,,
256,,
257,,
258,,
259,,
260,,
261,,
262,,
263,,
264,,
265,,
266,,
267,,
268,,
269,,
270,,
271,,
272,,
273,,
274,,
275,,
276,,
277,,
278,,
279,,
280,,
281,,
282,,
283,,
284,,
285,,
286,,
287,,
288,,
289,,
290,,
291,,
292,,
293,,
294,,
295,,
296,,
297,,
298,,
299,,
300,,
301,16.2,2740.0
302,17.1,2020.0
303,17.1,2020.0
304,17.8,2140.0
305,16.1,2200.0
306,19.0,2020.0
307,17.9,2080.0
308,17.8,2020.0
309,18.8,2020.0
310,19.9,3580.0
311,18.5,2020.0
312,17.9,2740.0
313,16.3,2020.0
314,15.3,2080.0
315,16.2,2020.0
316,15.8,2020.0
317,24.0,2080.0
318,21.8,3820.0
319,22.7,2860.0
320,15.6,2860.0
321,15.0,2020.0
322,19.7,2080.0
323,15.4,2140.0
324,16.5,2320.0
325,16.7,2080.0
326,17.3,2920.0
327,16.8,2020.0
328,15.4,2260.0
329,16.8,2740.0
330,17.3,2020.0
331,15.5,2140.0
332,16.8,2140.0
333,18.0,3160.0
334,16.8,2020.0
335,16.6,2020.0
336,18.1,2080.0
337,16.7,2020.0
338,19.0,3280.0
339,18.1,2080.0
340,18.9,2200.0
341,17.9,2320.0
342,18.9,2320.0
343,18.0,2380.0
344,16.2,2380.0
345,17.0,2260.0
346,17.8,2320.0
347,17.5,2860.0
348,20.1,3280.0
349,16.5,2140.0
350,19.2,2560.0
351,34.1,3700.0
352,23.3,2500.0
353,23.4,3940.0
354,21.6,3460.0
355,16.2,2980.0
356,19.8,3940.0
357,18.6,2920.0
358,16.4,2740.0
359,15.9,2740.0
360,18.5,2380.0
361,16.3,2320.0
362,17.0,2320.0
363,17.0,2380.0
364,14.1,2800.0
365,15.7,2860.0
366,16.6,2380.0
367,15.9,2440.0
368,16.9,2500.0
369,17.8,3100.0
370,14.9,2500.0
371,15.5,2440.0
372,15.0,3220.0
373,19.1,2860.0
374,15.3,2740.0
375,15.5,3100.0
376,15.7,2980.0
377,17.8,3580.0
378,16.8,3220.0
379,12.8,2020.0
380,14.7,2980.0
381,17.5,3220.0
382,13.6,2080.0
383,12.9,2200.0
384,12.4,2020.0
385,13.4,2080.0
386,14.3,3940.0
387,13.5,3940.0
388,15.6,3760.0
389,13.5,2800.0
390,13.0,3220.0
391,13.2,3460.0
392,17.7,3280.0
393,16.2,3220.0
394,14.1,3580.0
395,14.3,3640.0
396,14.9,3760.0
397,13.2,3100.0
398,12.8,3400.0
399,15.3,3940.0
400,13.0,3460.0
401,16.7,3400.0
402,17.5,3880.0
403,11.7,3820.0
404,16.0,3220.0
405,17.5,3340.0
406,19.6,3460.0
407,13.2,2440.0
408,12.9,2560.0
409,12.0,2620.0
410,12.1,3220.0
411,16.2,3220.0
412,13.4,3820.0
413,13.2,3820.0
414,15.2,3880.0
415,14.0,3700.0
416,13.5,3820.0
417,14.1,3940.0
418,15.4,3280.0
419,12.3,3400.0
420,12.7,2980.0
421,11.3,3580.0
422,11.0,2500.0
423,10.6,2260.0
424,11.0,2320.0
425,10.5,2020.0
426,10.6,2260.0
427,19.2,3940.0
428,13.2,2440.0
429,13.9,2440.0
430,11.2,2440.0
431,11.5,3280.0
432,13.5,3580.0
433,13.7,3460.0
434,14.2,3820.0
435,15.6,3820.0
436,12.3,2980.0
437,13.6,2740.0
438,14.1,2440.0
439,12.6,3220.0
440,15.3,2260.0
441,13.8,2620.0
442,14.8,2980.0
443,13.3,2320.0
444,11.7,2980.0
445,13.7,2980.0
446,13.0,2620.0
447,12.1,2560.0
448,11.8,2440.0
449,12.6,2320.0
450,11.4,2320.0
451,12.0,2860.0
452,12.2,2620.0
453,12.4,2560.0
454,11.7,2380.0
455,11.9,2740.0
