,0,1
0,0.0,4060.0
1,0.0,4240.0
2,0.0,1060.0
3,0.09999999999999964,940.0
4,0.09999999999999964,3520.0
5,0.09999999999999964,1120.0
6,0.5,1000.0
7,0.3000000000000007,3160.0
8,0.09999999999999964,2920.0
9,0.0,1240.0
10,0.1999999999999993,1360.0
11,0.09999999999999964,1420.0
12,0.40000000000000036,2800.0
13,0.40000000000000036,1420.0
14,0.0,3460.0
15,0.0,1360.0
16,0.1999999999999993,1600.0
17,0.0,1420.0
18,0.3000000000000007,3880.0
19,0.0,2860.0
20,0.0,3160.0
21,0.0,3640.0
22,0.0,3220.0
23,0.0,1480.0
24,0.0,1720.0
25,0.0,3520.0
26,0.3000000000000007,3220.0
27,0.0,4120.0
28,0.0,2440.0
29,0.0,1480.0
30,0.09999999999999964,3400.0
31,0.0,3760.0
32,0.0,2980.0
33,0.09999999999999964,2500.0
34,0.0,1660.0
35,0.40000000000000036,1960.0
36,0.0,4840.0
37,0.09999999999999964,5920.0
38,0.3000000000000007,2200.0
39,0.0,5980.0
40,1.5999999999999996,1240.0
41,0.1999999999999993,1360.0
42,0.0,2980.0
43,0.0,2320.0
44,0.0,3340.0
45,0.0,1240.0
46,2.3000000000000007,940.0
47,1.1999999999999993,1240.0
48,0.0,2380.0
49,0.0,4540.0
50,0.6999999999999993,4780.0
51,0.1999999999999993,3400.0
52,0.09999999999999964,1360.0
53,0.09999999999999964,2140.0
54,0.09999999999999964,5560.0
55,0.3000000000000007,5980.0
56,0.09999999999999964,3400.0
57,0.3000000000000007,820.0
58,0.5,1120.0
59,2.1999999999999993,4660.0
60,0.8000000000000007,5020.0
61,0.0,3940.0
62,0.0,1300.0
63,0.40000000000000036,1240.0
64,0.0,1480.0
65,1.3000000000000007,1240.0
66,0.5999999999999996,1240.0
67,0.09999999999999964,1360.0
68,0.09999999999999964,2440.0
69,0.09999999999999964,4360.0
70,0.9000000000000004,5380.0
71,0.0,2440.0
72,0.09999999999999964,1360.0
73,0.40000000000000036,3580.0
74,1.0,2800.0
75,0.0,1600.0
76,0.1999999999999993,1960.0
77,0.09999999999999964,640.0
78,0.40000000000000036,3340.0
79,0.3000000000000007,340.0
80,0.0,1540.0
81,0.1999999999999993,3280.0
82,0.09999999999999964,700.0
83,0.8000000000000007,3580.0
84,0.09999999999999964,4060.0
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
