,0,1
0,18.8,1660.0
1,19.1,1720.0
2,17.4,1840.0
3,19.4,1840.0
4,17.7,1780.0
5,18.0,1780.0
6,19.6,1780.0
7,20.1,1780.0
8,20.1,1900.0
9,18.2,1900.0
10,19.5,1900.0
11,18.3,1960.0
12,15.8,1780.0
13,16.2,1960.0
14,15.7,1960.0
15,16.3,1960.0
16,14.9,1960.0
17,16.0,1960.0
18,15.8,1960.0
19,14.8,1720.0
20,14.4,1900.0
21,14.7,1900.0
22,18.4,1720.0
23,15.0,1780.0
24,12.7,1960.0
25,13.3,1960.0
26,13.8,1900.0
27,13.2,1900.0
28,15.5,1900.0
29,14.5,1900.0
30,12.4,1780.0
31,18.1,1780.0
32,11.2,160.0
33,11.5,1720.0
34,12.0,1660.0
35,12.4,1960.0
36,12.3,1720.0
37,15.3,1780.0
38,10.6,1660.0
39,13.3,1480.0
40,18.4,1840.0
41,15.6,1780.0
42,17.1,1720.0
43,16.4,1720.0
44,16.4,1780.0
45,15.4,1600.0
46,24.2,1420.0
47,17.6,1780.0
48,15.1,1540.0
49,14.6,1480.0
50,9.7,1480.0
51,17.1,1660.0
52,16.4,1300.0
53,16.1,1600.0
54,9.9,1300.0
55,19.3,1840.0
56,18.9,1540.0
57,28.6,1840.0
58,18.8,1600.0
59,9.8,1780.0
60,17.3,1720.0
61,18.8,1840.0
62,24.5,1960.0
63,20.4,1780.0
64,15.1,1720.0
65,18.6,1840.0
66,19.3,1840.0
67,16.2,1840.0
68,13.4,1840.0
69,10.0,1960.0
70,23.5,1900.0
71,10.7,1960.0
72,17.5,1960.0
73,15.8,1900.0
74,7.7,400.0
75,16.1,1840.0
76,12.2,1960.0
77,12.1,640.0
78,5.8,520.0
79,14.4,580.0
80,13.7,1900.0
81,8.8,700.0
82,12.7,760.0
83,11.3,1900.0
84,13.7,220.0
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
250,,
251,,
252,,
253,,
254,,
255,,
256,,
257,,
258,,
259,,
260,,
261,,
262,,
263,,
264,,
265,,
266,,
267,,
268,,
269,,
270,,
271,,
272,,
273,,
274,,
275,,
276,,
277,,
278,,
279,,
280,,
281,,
282,,
283,,
284,,
285,,
286,,
287,,
288,,
289,,
290,,
291,,
292,,
293,,
294,,
295,,
296,,
297,,
298,,
299,,
300,,
301,17.9,1480.0
302,18.9,1540.0
303,18.1,1600.0
304,17.2,1720.0
305,17.2,1960.0
306,19.4,1960.0
307,18.1,1840.0
308,18.6,1840.0
309,19.5,1900.0
310,18.0,1960.0
311,18.0,1780.0
312,18.3,1660.0
313,18.4,1660.0
314,17.1,1660.0
315,18.4,1660.0
316,19.2,1660.0
317,26.7,1900.0
318,19.6,1660.0
319,19.4,1780.0
320,20.9,1720.0
321,19.1,1720.0
322,20.9,1780.0
323,18.0,1660.0
324,18.2,1600.0
325,18.7,1660.0
326,18.6,1660.0
327,20.0,1720.0
328,19.6,1600.0
329,18.8,1540.0
330,19.3,1900.0
331,17.6,1660.0
332,18.9,1660.0
333,19.4,1720.0
334,20.2,1780.0
335,19.0,1720.0
336,20.0,1660.0
337,19.8,1720.0
338,20.5,1840.0
339,18.6,1660.0
340,16.7,1720.0
341,18.0,1780.0
342,18.0,1720.0
343,17.3,1660.0
344,17.4,1720.0
345,17.2,1720.0
346,18.4,1780.0
347,16.4,1780.0
348,17.0,1780.0
349,16.4,1720.0
350,15.0,1720.0
351,15.1,1660.0
352,22.4,1720.0
353,15.1,1600.0
354,12.1,1180.0
355,15.5,1960.0
356,14.7,1960.0
357,14.7,1840.0
358,15.4,1960.0
359,14.7,1960.0
360,15.3,1900.0
361,14.0,1960.0
362,14.0,1900.0
363,12.7,1780.0
364,12.7,1840.0
365,11.9,1900.0
366,13.8,1960.0
367,11.5,1720.0
368,13.1,1960.0
369,11.7,1960.0
370,11.9,1900.0
371,12.6,1960.0
372,11.6,1960.0
373,12.2,1960.0
374,12.5,1720.0
375,12.1,1900.0
376,11.1,1720.0
377,12.4,1900.0
378,12.1,1720.0
379,11.7,1780.0
380,12.4,1900.0
381,12.3,1960.0
382,13.2,1840.0
383,10.9,1960.0
384,10.9,1960.0
385,11.5,1960.0
386,10.7,1900.0
387,10.0,1960.0
388,10.4,1960.0
389,11.0,1900.0
390,10.9,1960.0
391,11.0,1960.0
392,12.6,1960.0
393,11.2,1900.0
394,11.2,1960.0
395,12.4,1900.0
396,10.7,1900.0
397,11.4,1900.0
398,9.8,1960.0
399,12.5,1840.0
400,11.9,1960.0
401,12.3,1960.0
402,14.5,1600.0
403,8.2,1960.0
404,14.6,1900.0
405,5.8,520.0
406,9.9,220.0
407,11.7,1960.0
408,11.5,1780.0
409,12.0,1780.0
410,11.9,1720.0
411,11.7,1720.0
412,11.5,1600.0
413,11.0,1660.0
414,11.1,1660.0
415,11.8,1720.0
416,10.6,1720.0
417,11.1,1720.0
418,11.6,1840.0
419,11.7,1900.0
420,11.9,1960.0
421,11.1,1780.0
422,12.5,1840.0
423,11.8,1780.0
424,11.6,1780.0
425,10.9,1780.0
426,11.0,1720.0
427,10.6,1900.0
428,10.5,880.0
429,10.8,760.0
430,11.1,1780.0
431,10.2,1780.0
432,10.1,880.0
433,11.4,1720.0
434,14.0,940.0
435,12.6,820.0
436,12.9,880.0
437,12.4,880.0
438,12.1,880.0
439,11.1,820.0
440,12.1,880.0
441,12.6,940.0
