,0,1
0,14.7,4360.0
1,15.1,4360.0
2,14.0,4360.0
3,16.9,4300.0
4,16.9,4300.0
5,18.4,4300.0
6,,
7,,
8,17.4,4300.0
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,11.4,4000.0
24,,
25,,
26,7.3,4000.0
27,14.2,4060.0
28,17.7,4240.0
29,29.8,4240.0
30,34.0,5320.0
31,13.0,4000.0
32,21.3,4300.0
33,16.5,4900.0
34,33.0,5380.0
35,27.5,5380.0
36,17.7,5740.0
37,14.0,4900.0
38,15.9,4120.0
39,19.1,5140.0
40,20.1,5620.0
41,18.9,5920.0
42,17.6,4000.0
43,,
44,5.5,4060.0
45,19.5,4360.0
46,35.3,4900.0
47,,
48,17.8,5560.0
49,17.2,5620.0
50,19.3,4420.0
51,18.2,4960.0
52,22.4,4480.0
53,22.2,4480.0
54,19.5,5740.0
55,14.3,5860.0
56,19.3,5500.0
57,29.5,5140.0
58,18.6,5980.0
59,23.7,4060.0
60,21.3,5800.0
61,16.1,4180.0
62,32.4,4720.0
63,27.7,4900.0
64,19.8,5500.0
65,28.4,4720.0
66,22.0,5080.0
67,19.0,5380.0
68,20.3,5380.0
69,23.1,5920.0
70,25.2,4600.0
71,30.9,4840.0
72,24.3,4240.0
73,23.3,4900.0
74,23.8,4540.0
75,19.1,5860.0
76,23.0,4120.0
77,24.5,4780.0
78,20.8,4780.0
79,25.7,4120.0
80,24.3,4000.0
81,23.8,5260.0
82,25.1,5620.0
83,30.7,5080.0
84,25.9,4720.0
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
250,,
251,,
252,,
253,,
254,,
255,,
256,,
257,,
258,,
259,,
260,,
261,,
262,,
263,,
264,,
265,,
266,,
267,,
268,,
269,,
270,,
271,,
272,,
273,,
274,,
275,,
276,,
277,,
278,,
279,,
280,,
281,,
282,,
283,,
284,,
285,,
286,,
287,,
288,,
289,,
290,,
291,,
292,,
293,,
294,,
295,,
296,,
297,,
298,,
299,,
300,,
301,16.1,4240.0
302,13.7,4000.0
303,12.9,4360.0
304,11.3,4540.0
305,15.5,4420.0
306,13.1,4420.0
307,14.3,4480.0
308,11.7,5020.0
309,10.7,4000.0
310,,
311,,
312,,
313,,
314,,
315,9.1,4540.0
316,26.6,5800.0
317,,
318,19.7,4180.0
319,,
320,,
321,,
322,,
323,,
324,,
325,,
326,,
327,,
328,,
329,,
330,,
331,12.4,4960.0
332,,
333,10.9,4720.0
334,11.0,4720.0
335,10.7,4720.0
336,10.8,4600.0
337,10.8,4720.0
338,10.8,4720.0
339,11.6,4960.0
340,4.0,4000.0
341,,
342,,
343,,
344,6.1,4060.0
345,,
346,,
347,,
348,,
349,1.9,4000.0
350,,
351,,
352,8.7,4060.0
353,25.0,4120.0
354,23.8,4120.0
355,13.0,4240.0
356,22.7,4000.0
357,,
358,14.4,4060.0
359,12.6,4060.0
360,,
361,,
362,,
363,,
364,13.1,4360.0
365,,
366,,
367,,
368,,
369,,
370,6.2,4180.0
371,,
372,,
373,,
374,,
375,,
376,,
377,,
378,,
379,,
380,,
381,,
382,,
383,,
384,,
385,,
386,15.4,4000.0
387,15.8,4120.0
388,15.4,4300.0
389,13.5,4420.0
390,12.5,4900.0
391,14.0,5140.0
392,14.2,4000.0
393,15.4,4720.0
394,17.4,4660.0
395,17.1,4240.0
396,15.3,4120.0
397,12.7,4060.0
