,0,1
0,4.5,3280.0
1,4.0,3580.0
2,3.6000000000000014,3580.0
3,3.1000000000000014,4300.0
4,3.1000000000000014,4300.0
5,1.6000000000000014,4300.0
6,6.0,3040.0
7,7.0,3040.0
8,2.6000000000000014,4300.0
9,10.5,3640.0
10,7.300000000000001,3100.0
11,7.199999999999999,3040.0
12,4.699999999999999,3040.0
13,1.8999999999999986,3520.0
14,5.199999999999999,3520.0
15,6.4,3520.0
16,6.6,3580.0
17,6.1,3640.0
18,6.300000000000001,3520.0
19,6.6,3580.0
20,7.300000000000001,3580.0
21,7.5,3460.0
22,6.9,3040.0
23,7.9,3220.0
24,6.300000000000001,3160.0
25,7.0,3100.0
26,7.4,3280.0
27,5.800000000000001,4060.0
28,2.3000000000000007,4240.0
29,0.10000000000000142,3880.0
30,0.0,4480.0
31,1.8000000000000007,3040.0
32,0.0,4060.0
33,3.5,4900.0
34,0.0,4060.0
35,0.10000000000000142,5500.0
36,1.3999999999999986,3040.0
37,4.0,3040.0
38,3.8000000000000007,3820.0
39,0.8999999999999986,5140.0
40,0.0,5920.0
41,1.1000000000000014,5920.0
42,2.1000000000000014,3940.0
43,7.699999999999999,3220.0
44,6.9,3280.0
45,0.5,4360.0
46,0.0,3520.0
47,,
48,2.1999999999999993,5560.0
49,2.8000000000000007,5620.0
50,0.6999999999999993,4420.0
51,1.8000000000000007,4960.0
52,0.0,5140.0
53,0.0,3460.0
54,0.5,5740.0
55,3.1000000000000014,3340.0
56,0.6999999999999993,5500.0
57,0.6999999999999993,5860.0
58,1.3999999999999986,5980.0
59,0.3000000000000007,5500.0
60,0.3999999999999986,5920.0
61,3.8999999999999986,4180.0
62,0.6999999999999993,3340.0
63,0.1999999999999993,4960.0
64,0.1999999999999993,5500.0
65,0.1999999999999993,3640.0
66,0.10000000000000142,4420.0
67,1.0,5380.0
68,0.10000000000000142,5440.0
69,0.10000000000000142,4540.0
70,0.0,4960.0
71,0.0,4360.0
72,0.10000000000000142,3220.0
73,0.0,5200.0
74,0.0,4360.0
75,0.8999999999999986,5860.0
76,0.10000000000000142,4000.0
77,0.10000000000000142,4840.0
78,0.10000000000000142,5020.0
79,0.0,5500.0
80,0.10000000000000142,5500.0
81,0.10000000000000142,5020.0
82,0.0,4060.0
83,1.1999999999999993,4540.0
84,0.3000000000000007,5380.0
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
250,,
251,,
252,,
253,,
254,,
255,,
256,,
257,,
258,,
259,,
260,,
261,,
262,,
263,,
264,,
265,,
266,,
267,,
268,,
269,,
270,,
271,,
272,,
273,,
274,,
275,,
276,,
277,,
278,,
279,,
280,,
281,,
282,,
283,,
284,,
285,,
286,,
287,,
288,,
289,,
290,,
291,,
292,,
293,,
294,,
295,,
296,,
297,,
298,,
299,,
300,,
301,3.8999999999999986,4240.0
302,6.300000000000001,4000.0
303,7.1,3340.0
304,6.0,3040.0
305,4.5,4420.0
306,6.9,4420.0
307,5.699999999999999,4480.0
308,7.5,3520.0
309,3.3000000000000007,3580.0
310,0.10000000000000142,3580.0
311,10.8,3820.0
312,9.7,3820.0
313,10.0,3100.0
314,9.3,3160.0
315,10.9,4540.0
316,2.3000000000000007,5500.0
317,10.0,3160.0
318,0.3000000000000007,4180.0
319,1.0,3040.0
320,6.4,3460.0
321,8.5,3520.0
322,9.2,3100.0
323,,
324,4.5,3160.0
325,,
326,7.9,3100.0
327,6.5,3160.0
328,10.8,3100.0
329,12.9,3040.0
330,7.1,3280.0
331,7.5,3160.0
332,5.1,3220.0
333,2.0,3160.0
334,8.4,3040.0
335,6.4,3400.0
336,3.6999999999999993,3160.0
337,4.4,3220.0
338,1.0,3280.0
339,2.1000000000000014,3280.0
340,4.4,3220.0
341,3.8000000000000007,3160.0
342,3.8999999999999986,3460.0
343,3.5,3220.0
344,5.5,3040.0
345,5.300000000000001,3460.0
346,4.1,3100.0
347,4.300000000000001,3400.0
348,0.10000000000000142,3280.0
349,5.199999999999999,3280.0
350,4.9,3280.0
351,0.3999999999999986,3040.0
352,3.1000000000000014,3160.0
353,0.10000000000000142,4060.0
354,0.8999999999999986,4060.0
355,4.300000000000001,3760.0
356,0.1999999999999993,3940.0
357,6.9,3100.0
358,3.6000000000000014,3100.0
359,4.699999999999999,3280.0
360,,
361,,
362,4.199999999999999,3160.0
363,,
364,6.9,4360.0
365,6.0,3160.0
366,5.199999999999999,3340.0
367,6.1,3040.0
368,3.8000000000000007,3040.0
369,2.1999999999999993,3100.0
370,12.7,3760.0
371,16.4,3400.0
372,5.0,3220.0
373,10.9,3460.0
374,11.2,3100.0
375,4.5,3100.0
376,5.300000000000001,3040.0
377,2.1999999999999993,3580.0
378,3.1999999999999993,3220.0
379,7.6,3280.0
380,7.199999999999999,3100.0
381,2.5,3220.0
382,8.1,3040.0
383,9.2,3220.0
384,8.7,3160.0
385,7.800000000000001,3160.0
386,4.6,4000.0
387,4.199999999999999,4120.0
388,4.4,3760.0
389,6.5,4420.0
390,7.0,3220.0
391,6.0,5140.0
392,2.3000000000000007,3280.0
393,3.8000000000000007,3220.0
394,2.6000000000000014,4660.0
395,2.8999999999999986,4240.0
396,4.699999999999999,4120.0
397,6.800000000000001,3100.0
398,6.4,4300.0
399,4.199999999999999,4060.0
400,6.300000000000001,4420.0
401,3.3000000000000007,3400.0
402,0.10000000000000142,4240.0
403,6.800000000000001,5020.0
404,4.0,3220.0
405,0.10000000000000142,4120.0
406,0.3999999999999986,3460.0
407,6.199999999999999,5560.0
408,8.2,3040.0
409,7.300000000000001,4360.0
410,7.9,3220.0
411,3.8000000000000007,3220.0
412,6.6,3820.0
413,6.800000000000001,3820.0
414,4.800000000000001,3880.0
415,5.199999999999999,4060.0
416,6.5,3820.0
417,5.9,3940.0
418,4.6,3280.0
419,5.5,4300.0
420,6.6,4660.0
421,5.300000000000001,4660.0
422,6.5,4480.0
423,6.1,4720.0
424,7.9,4600.0
425,7.699999999999999,4780.0
426,8.3,4480.0
427,0.8000000000000007,3940.0
428,1.6000000000000014,4360.0
429,2.1999999999999993,4600.0
430,6.800000000000001,4660.0
431,7.5,5140.0
432,6.5,3580.0
433,6.300000000000001,3460.0
434,5.800000000000001,3820.0
435,4.4,3820.0
436,7.800000000000001,3100.0
