,0
0,10908.892922461771
1,9401.518708665082
2,8128.81991268142
3,7022.127738284353
4,6039.678535423286
5,5154.051263396728
6,4346.209361633883
7,3602.3628064244067
8,2912.1812543705378
9,2267.712907045605
10,1662.6977947968005
11,1092.1138465975584
12,551.8666663552174
13,38.57143618714771
14,-450.6041890389333
15,-918.0556721860139
16,-1365.8282337502842
17,-1795.6828681491218
18,-2209.1473878916236
19,-2607.5564132973564
20,-2992.0830754429144
21,-3363.7644212304176
22,-3723.5219720707146
23,-4072.1785104700634
24,-4410.471899907047
25,-4739.066548949024
26,-5058.562988117551
27,-5369.505922401415
28,-5672.391043135194
29,-5967.670822981391
30,-6255.759471879276
31,-6537.037196422109
32,-6811.853877574448
33,-7080.532260034041
34,-7343.370729469303
35,-7600.645740279812
36,-7852.613945649047
37,-8099.514072892697
38,-8341.568580001189
39,-8578.985123484641
40,-8811.957862884545
41,-9040.668623410374
42,-9265.2879349279
43,-9485.975962840484
44,-9702.88334416358
45,-9916.151940214371
46,-10125.915515757997
47,-10332.300353117933
48,-10535.425808626474
49,-10735.404817829798
50,-10932.3443550413
51,-11126.345852134307
52,-11317.505580862296
53,-11505.915002475178
54,-11691.661087951916
55,-11874.826611781331
56,-12055.490421885866
57,-12233.727687989625
58,-12409.610130476132
59,-12583.206231557402
60,-12754.58143037953
61,-12923.798303518031
62,-13090.916732164076
63,-13255.994057169291
64,-13419.085222998261
65,-13580.24291153333
66,-13739.517666583264
67,-13896.958009864844
68,-14052.610549152916
69,-14206.520079228809
70,-14358.729676198398
71,-14509.28078569896
72,-14658.213305466546
73,-14805.56566269385
74,-14951.374886570335
75,-15095.676676362547
76,-15238.505465361544
77,-15379.894480996729
78,-15519.87580139034
79,-15658.480408603997
80,-15795.738238808268
81,-15931.678229587453
82,-16066.328364574862
83,-16199.71571559852
84,-16331.866482502937
85,-16462.806030800235
86,-16592.558927291655
87,-16721.14897379039
88,-16848.599239066498
89,-16974.932089125916
90,-17100.1692159275
91,-17224.33166463413
92,-17347.439859487666
93,-17469.513628390552
94,-17590.572226271426
95,-17710.634357306793
96,-17829.71819606549
97,-17947.841407638567
98,-18065.021166812803
