,0
0,230
1,290
2,350
3,410
4,470
5,530
6,590
7,650
8,710
9,770
10,830
11,890
12,950
13,1010
14,1070
15,1130
16,1190
17,1250
18,1310
19,1370
20,1430
21,1490
22,1550
23,1610
24,1670
25,1730
26,1790
27,1850
28,1910
29,1970
30,2030
31,2090
32,2150
33,2210
34,2270
35,2330
36,2390
37,2450
38,2510
39,2570
40,2630
41,2690
42,2750
43,2810
44,2870
45,2930
46,2990
47,3050
48,3110
49,3170
50,3230
51,3290
52,3350
53,3410
54,3470
55,3530
56,3590
57,3650
58,3710
59,3770
60,3830
61,3890
62,3950
63,4010
64,4070
65,4130
66,4190
67,4250
68,4310
69,4370
70,4430
71,4490
72,4550
73,4610
74,4670
75,4730
76,4790
77,4850
78,4910
79,4970
80,5030
81,5090
82,5150
83,5210
84,5270
85,5330
86,5390
87,5450
88,5510
89,5570
90,5630
91,5690
92,5750
93,5810
94,5870
95,5930
96,5990
97,6050
98,6110
