,0
0,985.9732622593544
1,978.9547007996855
2,971.9765166333694
3,965.0385329413853
4,958.1405734338821
5,951.2824623493467
6,944.4640244537617
7,937.6850850397727
8,930.9454699258522
9,924.2450054554608
10,917.583518496212
11,910.9608364390391
12,904.3767871973542
13,897.8311992062148
14,891.323901421488
15,884.8547233190146
16,878.4234948937739
17,872.0300466590446
18,865.6742096455758
19,859.355815400742
20,853.0746959877197
21,846.8306839846397
22,840.6236124837598
23,834.45331509063
24,828.3196259232486
25,822.2223796112398
26,816.1614112950075
27,810.1365566249071
28,804.1476517604073
29,798.1945333692587
30,792.2770386266545
31,786.3950052144011
32,780.5482713200795
33,774.7366756362119
34,768.960057359429
35,763.2182561896338
36,757.5111123291695
37,751.8384664819814
38,746.200159852789
39,740.596034146245
40,735.0259315661092
41,729.4896948144072
42,723.9871670906018
43,718.5181920907578
44,713.0826140067079
45,707.6802775252212
46,702.3110278271666
47,696.9747105866834
48,691.6711719703454
49,686.4002586363295
50,681.1618177335819
51,675.9556969009836
52,670.7817442665222
53,665.6398084464536
54,660.529738544475
55,655.4513841508879
56,650.4045953417666
57,645.389222678129
58,640.4051172050994
59,635.4521304510813
60,630.5301144269215
61,625.6389216250798
62,620.778405018798
63,615.9484180612671
64,611.1488146847939
65,606.3794492999729
66,601.6401767948546
67,596.9308525341086
68,592.2513323582012
69,587.6014725825562
70,582.9811299967287
71,578.3901618635713
72,573.8284259184062
73,569.2957803681925
74,564.7920838906938
75,560.3171956336521
76,555.8709752139532
77,551.453282716799
78,547.0639786948757
79,542.7029241675249
80,538.3699806199114
81,534.0650100021969
82,529.787874728706
83,525.5384376770994
84,521.3165621875427
85,517.1221120618782
86,512.9549515627956
87,508.81494541300015
88,504.7019587943853
89,500.6158573472054
90,496.5565071692434
91,492.52377481498297
92,488.51752729478187
93,484.5376320740407
94,480.583957072375
95,476.6563706627881
96,472.75474167084144
97,468.8789393738259
98,465.02883349993704
